# S,I,R,Nw
169096,6,0,0
169095,6,1,1
169094,6,2,2
169092,7,3,4
169090,7,4,6
169089,8,5,7
169087,8,7,9
169085,8,8,11
169083,9,10,13
169081,9,11,15
169078,10,13,17
169076,11,15,20
169074,11,17,22
169071,12,19,25
169068,13,21,28
169065,13,23,31
169062,14,25,34
169059,15,28,37
169055,16,31,41
169051,17,33,44
169048,18,36,48
169043,19,39,52
169039,20,43,57
169035,21,46,61
169030,22,50,66
169025,23,54,71
169019,25,58,77
169014,26,62,82
169008,27,67,88
169001,29,71,95
168995,31,76,101
168988,32,82,108
168980,34,87,116
168972,36,93,124
168964,38,99,132
168955,40,106,141
168946,42,113,150
168936,45,120,160
168926,47,128,170
168915,50,136,181
